order_id,customer_id,restaurant_name,cuisine_type,cost_of_the_order,day_of_the_week,rating,food_preparation_time,delivery_time,rated_or_not,total_time_taken,more_or_less_60
1477147,337525,Hangawi,Korean,30.75,Weekend,Not given,25,20,Not rated,45,Less than 60 mins
1477685,358141,Blue Ribbon Sushi Izakaya,Japanese,12.08,Weekend,Not given,25,23,Not rated,48,Less than 60 mins
1477070,66393,Cafe Habana,Mexican,12.23,Weekday,5,23,28,Rated,51,Less than 60 mins
1477334,106968,Blue Ribbon Fried Chicken,American,29.2,Weekend,3,25,15,Rated,40,Less than 60 mins
1478249,76942,Dirty Bird to Go,American,11.59,Weekday,4,25,24,Rated,49,Less than 60 mins
1477224,147468,Tamarind TriBeCa,Indian,25.22,Weekday,3,20,24,Rated,44,Less than 60 mins
1477894,157711,The Meatball Shop,Italian,6.07,Weekend,Not given,28,21,Not rated,49,Less than 60 mins
1477859,89574,Barbounia,Mediterranean,5.97,Weekday,3,33,30,Rated,63,More than 60 mins
1477174,121706,Anjappar Chettinad,Indian,16.44,Weekday,5,21,26,Rated,47,Less than 60 mins
1477311,39705,Bukhara Grill,Indian,7.18,Weekday,5,29,26,Rated,55,Less than 60 mins
1477895,143926,Big Wong Restaurant ÂŒ_Â¤Â¾Ã‘Â¼,Chinese,5.92,Weekday,Not given,34,28,Not rated,62,More than 60 mins
1478437,221206,Empanada Mama (closed),Mexican,8.1,Weekend,5,23,22,Rated,45,Less than 60 mins
1476966,129969,Blue Ribbon Fried Chicken,American,24.3,Weekend,5,23,17,Rated,40,Less than 60 mins
1477449,104548,Pylos,Mediterranean,11.3,Weekend,3,24,23,Rated,47,Less than 60 mins
1478198,62667,Lucky's Famous Burgers,American,12.13,Weekday,Not given,23,30,Not rated,53,Less than 60 mins
1477414,66222,Shake Shack,American,16.2,Weekend,5,33,25,Rated,58,Less than 60 mins
1477486,104555,Sushi of Gari,Japanese,16.98,Weekend,Not given,30,16,Not rated,46,Less than 60 mins
1477373,139885,Blue Ribbon Sushi Izakaya,Japanese,33.03,Weekend,Not given,21,22,Not rated,43,Less than 60 mins
1477138,47280,RedFarm Hudson,Chinese,14.12,Weekend,4,25,24,Rated,49,Less than 60 mins
1477354,67487,Blue Ribbon Sushi,Japanese,16.2,Weekend,4,35,26,Rated,61,More than 60 mins
1478296,250494,Five Guys Burgers and Fries,American,24.2,Weekend,4,21,24,Rated,45,Less than 60 mins
1478226,137565,Shake Shack,American,15.91,Weekend,Not given,25,20,Not rated,45,Less than 60 mins
1478287,150599,Shake Shack,American,29.1,Weekday,5,21,30,Rated,51,Less than 60 mins
1478014,54630,Tortaria,Mexican,8.92,Weekend,Not given,33,16,Not rated,49,Less than 60 mins
1476714,363783,Cafe Mogador,Middle Eastern,15.86,Weekday,Not given,32,29,Not rated,61,More than 60 mins
1476693,41877,Cafe Mogador,Middle Eastern,29.1,Weekday,5,20,29,Rated,49,Less than 60 mins
1476995,371590,The Meatball Shop,Italian,21.88,Weekday,5,24,27,Rated,51,Less than 60 mins
1476844,175290,Otto Enoteca Pizzeria,Italian,14.02,Weekend,Not given,24,16,Not rated,40,Less than 60 mins
1477015,76686,Vezzo Thin Crust Pizza,Italian,9.17,Weekend,Not given,21,24,Not rated,45,Less than 60 mins
1476889,149984,Sushi of Gari 46,Japanese,12.18,Weekday,Not given,20,29,Not rated,49,Less than 60 mins
1478289,318874,The Kati Roll Company,Indian,31.33,Weekend,5,28,25,Rated,53,Less than 60 mins
1477699,302790,Klong,Thai,29.05,Weekend,5,35,24,Rated,59,Less than 60 mins
1476855,317794,5 Napkin Burger,American,8.39,Weekday,Not given,35,24,Not rated,59,Less than 60 mins
1477748,105349,TAO,Japanese,9.12,Weekend,Not given,34,18,Not rated,52,Less than 60 mins
1478244,181782,Parm,Italian,29.1,Weekend,5,30,26,Rated,56,Less than 60 mins
1478310,65224,Sushi Samba,Japanese,15.47,Weekend,Not given,32,26,Not rated,58,Less than 60 mins
1478017,148649,Blue Ribbon Sushi,Japanese,16.01,Weekday,4,23,31,Rated,54,Less than 60 mins
1476871,118709,The Meatball Shop,Italian,24.3,Weekday,4,31,29,Rated,60,Less than 60 mins
1477999,208020,Haru Gramercy Park,Japanese,29.83,Weekday,5,20,32,Rated,52,Less than 60 mins
1476891,220693,Shake Shack,American,19.89,Weekend,Not given,27,19,Not rated,46,Less than 60 mins
