order_id,customer_id,restaurant_name,cuisine_type,cost_of_the_order,day_of_the_week,rating,food_preparation_time,delivery_time,rated_or_not,total_time_taken,more_or_less_60
1477070,66393,Cafe Habana,Mexican,12.23,Weekday,5,23,28,Rated,51,Less than 60 mins
1477334,106968,Blue Ribbon Fried Chicken,American,29.2,Weekend,3,25,15,Rated,40,Less than 60 mins
1478249,76942,Dirty Bird to Go,American,11.59,Weekday,4,25,24,Rated,49,Less than 60 mins
1477224,147468,Tamarind TriBeCa,Indian,25.22,Weekday,3,20,24,Rated,44,Less than 60 mins
1477859,89574,Barbounia,Mediterranean,5.97,Weekday,3,33,30,Rated,63,More than 60 mins
1477174,121706,Anjappar Chettinad,Indian,16.44,Weekday,5,21,26,Rated,47,Less than 60 mins
1477311,39705,Bukhara Grill,Indian,7.18,Weekday,5,29,26,Rated,55,Less than 60 mins
1478437,221206,Empanada Mama (closed),Mexican,8.1,Weekend,5,23,22,Rated,45,Less than 60 mins
1476966,129969,Blue Ribbon Fried Chicken,American,24.3,Weekend,5,23,17,Rated,40,Less than 60 mins
1477449,104548,Pylos,Mediterranean,11.3,Weekend,3,24,23,Rated,47,Less than 60 mins
1477414,66222,Shake Shack,American,16.2,Weekend,5,33,25,Rated,58,Less than 60 mins
1477138,47280,RedFarm Hudson,Chinese,14.12,Weekend,4,25,24,Rated,49,Less than 60 mins
1477354,67487,Blue Ribbon Sushi,Japanese,16.2,Weekend,4,35,26,Rated,61,More than 60 mins
1478296,250494,Five Guys Burgers and Fries,American,24.2,Weekend,4,21,24,Rated,45,Less than 60 mins
1478287,150599,Shake Shack,American,29.1,Weekday,5,21,30,Rated,51,Less than 60 mins
1476693,41877,Cafe Mogador,Middle Eastern,29.1,Weekday,5,20,29,Rated,49,Less than 60 mins
1476995,371590,The Meatball Shop,Italian,21.88,Weekday,5,24,27,Rated,51,Less than 60 mins
1478289,318874,The Kati Roll Company,Indian,31.33,Weekend,5,28,25,Rated,53,Less than 60 mins
1477699,302790,Klong,Thai,29.05,Weekend,5,35,24,Rated,59,Less than 60 mins
1478244,181782,Parm,Italian,29.1,Weekend,5,30,26,Rated,56,Less than 60 mins
